answer,f1_1,f1_2,f1_3,f1_4,f1_5,f2_1,f2_2,f2_3,f2_4,f2_5,f3_1,f3_2,f3_3,f3_4,f3_5,f5_1,f5_2,f5_3,f5_4,f5_5,f6_1,f6_2,f6_3,f6_4,f6_5
3,0.282398113489,0.282398113489,0.282398113489,0.282398113489,0.282398113489,0.0,0.0,0.114626634335,0.0,0.0,0.0,0.000601385660272,0.292410097457,0.0,0.0,0.408337985588,0.290433024847,0.349960867256,0.420987358627,0.330857022508,0.412437133595,0.289099321078,0.356745895075,0.382867585135,0.344031286358
1,0.18986087856,0.222795928923,0.265987569363,0.170860286435,0.16730674058,0.174400786731,0.0,0.0,0.0,0.0,0.16076016251,0.20152578647,0.18013722023,0.229328297683,0.0819480978413,0.745673949318,0.383689339572,0.661032813161,0.0,0.610131458741,1.0,0.386298499058,0.466657807181,0.208619546144,0.423394364104
2,0.457443917492,0.744628439685,0.0,0.505642718419,0.457443917492,0.0,0.0,0.0,0.0,0.0911667156275,0.22509672808,0.295458522832,0.0,0.114975281405,0.365573191184,0.209142445995,0.529242927258,0.349960867256,0.633593373875,0.680891074124,0.0856373354706,0.489393958833,0.356745895075,0.44077017384,0.413186905104
3,0.35898065274,0.35898065274,0.35898065274,0.407179453667,0.411631148474,0.174983443215,0.143160430027,0.331280173298,0.147434740895,0.0,0.149171399215,0.151523727792,0.246605725268,0.27314638611,0.19175519293,0.505085940392,0.44776702226,0.491674466828,0.549694448342,0.517703676516,0.519128909345,0.393717404473,0.406810615044,0.393565607713,0.38402795892
2,0.235673647577,0.263252478676,0.248893252567,0.0,0.15590016919,0.218529691744,0.163445446749,0.0,0.0,0.0,0.502750274391,0.45954471916,0.114745788175,0.0,0.0843940179928,0.468304051487,0.500176942801,0.4417769755,0.374735461012,0.493602779351,0.416741299971,0.420292222172,0.364559812352,0.392401015621,0.381296622353
3,0.464281644211,0.210488020829,0.402058331069,0.464281644211,0.325475791817,0.0533232765178,0.0750078515256,0.0,0.0,0.0,0.258032254546,0.104144945206,0.3843542702,0.230852280683,0.0219128723336,0.349960867256,0.432496882171,0.353130139848,0.356610070958,0.562747751989,0.356745895075,0.41437006955,0.346762520198,0.357369689197,0.408895579593
4,0.177097122019,0.317252987122,0.125244361067,0.263252478676,0.201029165534,0.0,0.0,0.0875105083227,0.0,0.0698048494111,0.0987658754255,0.0245186939,0.140801997904,0.132387026655,0.402296463549,0.638044463408,0.475044132014,0.302486058027,0.587420753748,0.578551468625,0.690203315458,0.471149808786,0.320674091899,0.450787193076,0.437489697805
3,0.220174800347,0.35898065274,0.220174800347,0.35898065274,0.296757339598,0.207648126079,0.15241245574,0.160214489425,0.0584148670032,0.145696864765,0.276767719388,0.144039353752,0.221593998461,0.163014458894,0.10900547319,0.618881868371,0.496036583868,0.349960867256,0.532371941143,0.604976680342,0.564753537766,0.414417196077,0.356745895075,0.389658677656,0.402195228802
4,0.263252478676,0.263252478676,0.263252478676,0.263252478676,0.365942701762,0.0,0.165678059798,0.0634850516206,0.320023201858,0.0541919006496,0.170784929594,0.0911172478235,0.123536386449,0.115505892837,0.131749047521,0.586450759517,0.249405664194,0.549880621194,0.661566402717,0.607424794766,0.566520298068,0.292592562617,0.449139702673,0.416239324425,0.385900448026
3,0.306330157006,0.306330157006,0.306330157006,0.306330157006,0.339835017926,0.0,0.0,0.0974101692292,0.0671159653954,0.133070531039,0.0854456416346,0.0980282664963,0.236912976969,0.0854456416346,0.349904747872,0.561354533712,0.45834626057,0.523457678458,0.450130478911,0.441763506026,0.56439408203,0.450989996642,0.443969011786,0.370459552607,0.369146005325
3,0.298659630238,0.333681063879,0.254705320278,0.460047513434,0.249577025238,0.0,0.0,0.270574825491,0.0,0.0772591180501,0.0962478079761,0.0404091409376,0.417439161393,0.380639820034,0.211522198246,0.737997226518,0.521761300532,0.650447262696,0.640985749995,0.609344820456,0.717101736298,0.430383927143,0.447599713909,0.42529420337,0.394507049985
