answer,f1_1,f1_2,f1_3,f1_4,f1_5,f2_1,f2_2,f2_3,f2_4,f2_5,f3_1,f3_2,f3_3,f3_4,f3_5,f4_1,f4_2,f4_3,f4_4,f4_5,f5_1,f5_2,f5_3,f5_4,f5_5,f6_1,f6_2,f6_3,f6_4,f6_5,f7_1,f7_2,f7_3,f7_4,f7_5
3,0.983333333333,0.983333333333,0.983333333333,0.983333333333,0.983333333333,0.0,0.0,0.06280246,0.0,0.0,0,0.00035346797,0.17186576,0,0,0.443494862,0,0.568183237,0.413240414,0.395349975,0.536636626244,-0.547214755213,0.0,0.652917063959,-0.175613717955,0.980992209081,0.564242733371,0.0,0.201639519504,0.188473939465,1.23554104336,-0.347405182846,1.37747216117,1.44596154532,1.26253136976
1,0.661111111111,0.775793650794,0.92619047619,0.594949494949,0.582575757576,0.09555195,0.0,0.0,0.0,0.0,0.094487734,0.11844797,0.105876714,0.13478906,0.048165478,0.945756248,0,0,0,0,3.63762616906,0.310051850951,2.85955532475,-3.21704504244,2.39164029421,0.656572675151,0.303241538742,0.226487422813,0.148090601395,0.0879903596096,2.7428245248,1.832639361,0.0,0.7815369038,0.63690367522
2,1.59285714286,2.59285714286,0,1.76068931069,1.59285714286,0.0,0.0,0.0,0.0,0.049949072,0.13230193,0.17365749,0,0.0675774,0.2148678,0,0,0,0,0.662857162,-1.29448531647,1.64806558759,0.0,2.60731594492,3.04210407794,1.33682593591,1.21153111624,0.0,0.253345492775,0.138210544321,0.446114172424,1.06318197622,0.612240472401,1.75213203733,2.69807276697
3,1.25,1.25,1.25,1.41783216783,1.43333333333,0.09587118,0.07843576,0.18150415,0.0807776,0.0,0.08767637,0.089058965,0.14494397,0.1605434,0.112705246,0.793135316,0.907687727,0.629292155,0.755708415,0,1.42600043086,0.899091399976,1.30271431925,1.83606793491,1.54199004354,0.754196802004,0.310045032691,0.251398934001,0.157709925075,0.175594236373,1.14596898801,1.46647606791,1.31292118201,1.18597710603,1.54010579292
2,0.820634920635,0.916666666667,0.866666666667,0,0.542857142857,0.11972961,0.08954966,0.0,0.0,0.0,0.29549444,0.27010012,0.067442514,0,0.049603082,0.746521734,2.24724022,0.4907641,0,0,1.08787978817,1.38087405291,0.844027385571,0.227742560611,1.32044049615,0.335845705664,0.174535381842,0.214577592841,0.0,0.0731867898541,2.07279796906,2.45680108165,0.535563763209,0.0,1.94246206125
3,1.61666666667,0.732936507937,1.4,1.61666666667,1.13333333333,0.029215138,0.041095838,0.0,0.0,0.0,0.15165998,0.061211806,0.22590649,0.13568479,0.01287942,0.526038665,0.802815854,0,0.5833333,0,0.0,0.758719338216,0.029133807907,0.0611233706605,1.95606153909,0.0,0.238349101836,0.460202066646,0.302463067614,0.190269577012,-0.151683481698,0.0,0.0,2.17818457385,1.47994119293
4,0.616666666667,1.1047008547,0.436111111111,0.916666666667,0.7,0.0,0.0,0.047945883,0.0,0.03824518,0.058050226,0.014411007,0.082757205,0.077811256,0.23645212,0.608336666,0,0.633084352,1.35,0.789779418,2.64823296409,1.14983855177,-0.436416222382,2.18287020663,2.10133854865,0.458902269188,0.63978053444,0.215193804987,0.237360222744,0.162061526658,2.28167898477,0.325607272979,1.79291144582,3.08241829542,2.35059317012
3,0.766666666667,1.25,0.766666666667,1.25,1.03333333333,0.11376774,0.083504826,0.08777946,0.032004755,0.07982544,0.16267186,0.08465998,0.13024318,0.09581271,0.06406861,1.476633097,1.448698275,0.662779953,0.945501038,0.582334609,2.47207917911,1.34281345121,0.0,1.67682931391,2.34425455528,0.325684183421,0.221949603017,0.0,0.120222308514,0.100080487699,1.45624821703,1.35894740184,0.0,0.800929355766,0.0
4,0.916666666667,0.916666666667,0.916666666667,0.916666666667,1.27424242424,0.0,0.09077288,0.034782644,0.1753366,0.029691046,0.10037985,0.0535547,0.07260924,0.06788927,0.07743628,0,0.565433018,0.3695899693,0.951417191,0.823743419,2.17395345214,-0.924362258094,1.83777934469,2.86446039214,2.36675905537,0.478390831021,0.315852489462,0.210568326308,0.110776647959,0.0832815382242,0.458853416848,1.55729945314,1.94638150807,2.96125609763,1.07510571339
3,1.06666666667,1.06666666667,1.06666666667,1.06666666667,1.18333333333,0.0,0.0,0.05336978,0.036771975,0.072907634,0.05022118,0.057616692,0.139247,0.05022118,0.20565858,0.895937115,0.3722302,0.36072977,0.389715942,0.37249981,1.94325426157,0.996341948081,1.59488419586,0.920817676285,0.84390356629,0.647154229128,0.506514761397,0.337676507598,0.112127701587,0.12372060785,1.70071272339,1.23695526241,0.883680885142,1.41930652982,0.669219450354
3,1.03995726496,1.1619047619,0.886904761905,1.60192307692,0.869047619048,0.0,0.0,0.14824447,0.0,0.042329278,0.056570217,0.023750711,0.24535233,0.2237233,0.12432342,0.590881163,0,1.160033632,0,1.208630284,3.56705724168,1.57929009747,2.76224675162,2.67527099125,2.38440905486,0.542079903657,0.350978916392,0.153338934135,0.2155789296,0.0875967599784,2.55328863533,2.97914419743,3.40156644604,1.51521754043,2.8520457484
4,0.611111111111,0.765079365079,0.498723498723,1.01388888889,0.703968253968,0.054284766,0.0493059,0.0,0.32413185,0.0,0.078515865,0.11065637,0.06366827,0.5588607,0.06694489,0.446465696,0.664073804,0.732635383,0.69697705,0.915928934,1.28869391099,0.451473897127,1.21908341201,0.253697693983,0.531682992271,0.783467470371,0.340927731823,0.193806610284,0.399688263459,0.157329249429,1.4480125085,1.28821356424,1.0173595733,1.30413066573,0.860958417783
1,1.36666666667,1.36666666667,1.36666666667,1.36666666667,1.36666666667,0.0,0.03878498,0.032362565,0.035005733,0.03687643,0.17913318,0.10894203,0.10869733,0.17852506,0.03565095,0,1.005456245,0.98771118,0.542454654,0.553644008,0.0,1.83214962764,1.42844026663,2.1016035611,1.19673346584,0.0,0.386550941361,0.339298150116,0.319080988318,0.265940212894,0.674408324007,0.945064607529,0.36245539259,0.790907232537,0.809169902216
5,1.40833333333,1.40833333333,1.40833333333,1.40833333333,1.40833333333,0.0,0.049607903,0.1280005,0.0,0.48157373,0.089381985,0.07829175,0.16676416,0,0.035862595,0.781767227,0.869863337,0.698525682,0,0.97993404,1.16994177166,2.39199196002,2.8379804172,0.893947850844,2.0746568866,0.747726584481,0.394609010257,0.211768356685,0.17957198553,0.172029619781,3.79508543513,4.23313934781,2.69177294893,3.95491202149,3.98159012311
5,1.56666666667,1.80277777778,1.56666666667,1.56666666667,1.56666666667,0.08982067,0.06760872,0.07013099,0.0,0.113022655,0.18424486,0.17806982,0.08940311,0.044372134,0.072889,1.085964906,1.36507042,0.634784448,0.805196556,1.242235132,1.13680845937,1.48876954212,1.58392223691,1.62831990665,1.07557686399,1.13364371678,0.676748361774,0.45116591544,0.307963416191,0.232139287724,1.36333608374,1.30802362069,1.76234056934,0.965013091947,1.83611135637
2,1.27894327894,1.26956369504,0.833333333333,0.833333333333,0.833333333333,0.0,0.0,0.03512409,0.0,0.0,0.11351645,0.19734146,0.06715834,0.0678337,0.058851715,0.817068708,0.326755176,0.577716346,0,0.376837371,1.2091547697,1.1292528021,0.0582094724597,1.51092481972,1.56091923647,0.47570041305,0.333184116237,0.170542640773,0.105163331029,0.108003643169,1.90876762928,2.31682862627,1.26616037131,0.574736108774,0.51094644696
2,0.875,0.875,0.875,0.875,0.875,0.04969705,0.0,0.04647692,0.047718503,0.03574466,0.06839315,0.06495267,0.048128136,0.12711652,0.09622286,0.634331401,0.5625,0.674657097,0.843679616,0.485773858,2.08372661262,1.79191757688,2.34800148397,2.32248140885,2.17606580318,0.901021369652,0.364250364185,0.181277344612,0.156519123298,0.119464088897,2.19079270795,3.03997219288,3.13837574546,2.59910049392,1.49064861076
1,2.2,2.2,2.2,2.2,2.26666666667,0.13998123,0.0,0.032966014,0.045193847,0.0,0.25966066,0.10149518,0.11062279,0.14852057,0.10009585,1.294197606,0,0.847926009,0.855011064,0,0.403682527489,1.3503897376,3.49983221032,3.92356204829,2.26540179738,1.89299782489,0.790397324486,0.526931549658,0.273077150216,0.260955531469,3.39296488233,0.995821965903,3.30330073436,2.66415510643,2.54809953231
4,1.41666666667,1.41666666667,1.41666666667,0,1.41666666667,0.018650899,0.0,0.0,0.0,0.0,0.27053857,0.04462074,0.0586387,0,0.14318559,1.07221611,0.434080696,0.500178801,0,0.769932372,3.19661005829,2.4359510522,0.35483417738,1.29227417241,1.17549188922,0.569948480743,0.341740107301,0.234107171154,0.0,0.13351002468,1.50980010809,1.93320234873,1.99816113546,2.73280598856,0.0
1,0.76539016539,1.07584082584,1.42424242424,1.0873015873,1.36987734488,0.0,0.047417626,0.055873405,0.06152476,0.03834955,0.27464777,0.23677479,0.14660648,0.13798186,0.3634173,0,0.829968416,0.714877924,1.524128746,1.14718867,2.59432705625,3.28570548535,2.57789388313,1.72954093138,2.05021122969,0.491387251068,0.471067367701,0.334641197516,0.169213641804,0.14195890341,2.66290884093,1.87114912929,1.86702125236,1.15937914072,0.910113560282
2,0.812276612277,0.930988455988,0.907178932179,0.746836496836,0.954797979798,0.0,0.047040835,0.0,0.0,0.11483137,0.10140091,0.24153411,0.10224311,0.06403569,0.12596124,0,1.224419135,0,0,2.64463314,0.0,0.0,1.75607748428,-0.425417725865,3.61714493347,0.0,0.0,0.204900348141,0.139081056875,0.0659348361383,1.52922897817,2.4863913161,1.05105401457,1.24804553128,1.82223175054
2,0.533333333333,0.52619047619,0.718686868687,0.524242424242,0,0.0,0.0,0.0,0.0,0.0,0.1780098,0.068921596,0,0,0,1.059409474,0,0.581812101,0,0,2.12910894008,2.94580566526,2.41376998952,2.25025143289,0.0,0.230378424194,0.149521872137,0.134284565907,0.0948208425048,0.0,2.25765498847,2.17674935223,2.15367160516,1.63857023239,0.0
